Jan 7,Wednesday,International Programmers' Day
Jan 18,Sunday,World Religion Day
Jan 25,Sunday,World Leprosy Day
Jan 26,Monday,International Customs Day
Feb 2,Monday,World Wetlands Day
Feb 4,Wednesday,World Cancer Day
Feb 11,Wednesday,World Day of the Sick
Feb 13,Friday,Friday the 13th
Mar 1,Sunday,Self-Injury Awareness Day
Mar 12,Thursday,World Kidney Day
Mar 13,Friday,Friday the 13th
Mar 15,Sunday,Long Covid Awareness Day
Mar 28,Saturday,Earth Hour
Mar 31,Tuesday,International Transgender Day of Visibility
Apr 1,Wednesday,April Fool's Day
Apr 15,Wednesday,World Art Day
Apr 18,Saturday,International Day for Monuments and Sites
May 3,Sunday,International Family Equality Day
May 8,Friday,World Ovarian Cancer Day
May 8,Friday,World Red Cross and Red Crescent Day
May 12,Tuesday,International Nurses Day
May 20,Wednesday,World Autoimmune / Autoinflammatory Arthritis Day
May 25,Monday,African Liberation Day
Aug 31,Monday,International Overdose Awareness Day
Sep 4,Friday,World Sexual Health Day
Sep 7,Monday,Still's Disease Awareness Day
Sep 10,Thursday,World Suicide Prevention Day
Sep 13,Sunday,International Programmers' Day
Sep 23,Wednesday,International Celebrate Bisexuality Day
Sep 28,Monday,World Rabies Day
Sep 29,Tuesday,World Heart Day
Oct 1,Thursday,World Vegetarian Day
Oct 6,Tuesday,World Cerebral Palsy Day
Oct 8,Thursday,World Sight Day
Oct 29,Thursday,World Stroke Day
Nov 1,Sunday,World Vegan Day
Nov 11,Wednesday,Singles' Day
Nov 12,Thursday,World Pneumonia Day
Nov 13,Friday,Friday the 13th
Nov 17,Tuesday,World Prematurity Day
Nov 19,Thursday,International Men's Day
Nov 20,Friday,Transgender Day of Remembrance
Nov 20,Friday,Fake Friday
Dec 1,Tuesday,GivingTuesday
Dec 14,Monday,Green Monday
Dec 19,Saturday,Super Saturday
