Jan 1,Friday,Western New Year,
Jan 5,Tuesday,Lailat al Miraj / The Prophet's Ascension (Umm al-Qura),muslim
Jan 6,Wednesday,Epiphany,
Jan 7,Thursday,Orthodox Christmas,orthodox
Jan 14,Thursday,Orthodox New Year,orthodox
Jan 15,Friday,Tamil Thai Pongal Day,solar
Jan 20,Wednesday,Aquarius (UTC),solar
Jan 22,Friday,Thaipusam,hindu solar
Jan 23,Saturday,Lailat al Bara'a / Night of Emancipation (Umm al-Qura),muslim
Feb 6,Saturday,Chinese New Year / Spring Festival,chinese lunar
Feb 6,Saturday,Tet Nguyen Dan / Vietnamese New Year,vietnamese lunar
Feb 7,Sunday,Dangpa Losar / Bhutanese New Year (Year of the Fire Female Sheep),bhutanese lunar
Feb 7,Sunday,Losar / Tibetan New Year,tibetan lunar
Feb 7,Sunday,Seol-nal / Korean New Year,korean lunar
Feb 7,Sunday,Tsagaan Sar / Mongolian New Year (Year of the Red Ewe),mongolian lunar
Feb 8,Monday,Start of Ramadan (Umm al-Qura),muslim
Feb 9,Tuesday,Shrove Tuesday / Carnival,easter
Feb 10,Wednesday,Ash Wednesday,easter
Feb 18,Thursday,Pisces (UTC),solar
Feb 24,Wednesday,Nuzul Quran / Revelation of the Qur'an (Umm al-Qura),muslim
Mar 4,Thursday,Mi-Carême / Mid-Lent,easter
Mar 5,Friday,Jumatul Bidah / Friday of Farewell (Umm al-Qura),muslim
Mar 6,Saturday,Lailat al Qadr / Night of Destiny (Umm al-Qura),muslim
Mar 6,Saturday,Maha Shivaratree,hindu lunar
Mar 8,Monday,International Women's Day,
Mar 9,Tuesday,Eid al Fitr / End of Ramadan (Umm al-Qura),muslim
Mar 15,Monday,Orthodox Clean Monday,orth. easter
Mar 16,Tuesday,Orthodox Shrove Tuesday,orth. easter
Mar 17,Wednesday,Orthodox Ash Wednesday,orth. easter
Mar 20,Saturday,Aries (UTC),solar
Mar 20,Saturday,Vernal Equinox / Spring (UTC),solar
Mar 21,Sunday,Palm Sunday,easter
Mar 22,Monday,Holi Phagwa,hindu lunar
Mar 23,Tuesday,Purim,jewish
Mar 25,Thursday,Maundy Thursday,easter
Mar 26,Friday,Good Friday,easter
Mar 28,Sunday,Easter,easter
Mar 29,Monday,Easter Monday,easter
Apr 5,Monday,Qing Ming Jie / Tomb Sweeping Day,chinese solar
Apr 8,Thursday,Ougadi / Ugaadi,hindu lunar
Apr 13,Tuesday,Laotian New Year,
Apr 14,Wednesday,Cambodian New Year,solar
Apr 15,Thursday,Ram Navami,hindu lunar
Apr 17,Saturday,Burmese New Year,
Apr 19,Monday,Mahavir Jayanti / Janma Kalyanak,hindu lunar
Apr 20,Tuesday,Taurus (UTC),solar
Apr 22,Thursday,Pesach / Jewish Passover,jewish
Apr 23,Friday,Great Prayer Day,easter
Apr 30,Friday,Orthodox Good Friday,orth. easter
May 1,Saturday,International Labour Day,
May 1,Saturday,Orthodox Holy Saturday,orth. easter
May 2,Sunday,Orthodox Easter,orth. easter
May 3,Monday,Orthodox Easter Monday,orth. easter
May 6,Thursday,Ascension Day,easter
May 15,Saturday,Arafat Day (Umm al-Qura),muslim
May 16,Sunday,Eid al Adha / Feast of Sacrifice (Umm al-Qura),muslim
May 16,Sunday,Whit Sunday / Pentecost,easter
May 17,Monday,Whit Monday,easter
May 21,Friday,Gemini (UTC),solar
May 27,Thursday,Corpus Christi,easter
June 6,Sunday,Islamic New Year / Hijra New Year (1449) (Umm al-Qura),muslim
June 9,Wednesday,Duan Wu Jie / Dragon Boat Festival,chinese lunar
June 11,Friday,Shavuot,jewish
June 15,Tuesday,Ashura (Umm al-Qura),muslim
June 21,Monday,Cancer (UTC),solar
June 21,Monday,Orthodox Pentecost Monday,orth. easter
June 21,Monday,Summer Solstice / Summer (UTC),solar
July 22,Thursday,Magal de Touba (Umm al-Qura),muslim
Jul 23,Friday,Leo (UTC),solar
Aug 14,Saturday,Mawlid an Nabi / The Prophet's Birthday (Umm al-Qura),muslim
Aug 15,Sunday,Assumption,
Aug 15,Sunday,Parsi New Year,zoroastrian
Aug 21,Saturday,Baptism of the Prophet (Umm al-Qura),muslim
Aug 23,Monday,Virgo (UTC),solar
Sep 4,Saturday,Ganesh Chaturthi / Vinayaka Chaturthi / Chaturthi Paksha,hindu lunar
Sep 12,Sunday,Onam / Thiruonam,hindu solar
Sep 15,Wednesday,Zhong Qu Jie / Mid Autumn Festival,chinese lunar
Sep 23,Thursday,Autumnal Equinox / Fall (UTC),solar
Sep 23,Thursday,Libra (UTC),solar
Oct 2,Saturday,Rosh Hashanah / Jewish New Year (5788),jewish
Oct 10,Sunday,Dassain,hindu lunar
Oct 11,Monday,Canadian Thanksgiving,
Oct 11,Monday,Yom Kippur,jewish
Oct 16,Saturday,Sukkot,jewish
Oct 23,Saturday,Scorpio (UTC),solar
Oct 28,Thursday,Southern Deepavali / Diwali Krisna Chaturdasi,hindu lunar
Oct 29,Friday,Northern Deepavali / Diwali Amavasya,hindu lunar
Oct 31,Sunday,Reformation Day,
Nov 1,Monday,All Saints' Day,
Nov 2,Tuesday,All Souls' Day,
Nov 14,Sunday,Guru Nanak Jayanti,hindu lunar
Nov 22,Monday,Sagittarius (UTC),solar
Nov 25,Thursday,US Thanksgiving,
Nov 28,Sunday,First Sunday in Advent,
Dec 5,Sunday,Second Sunday in Advent,
Dec 8,Wednesday,Immaculate Conception,
Dec 12,Sunday,Third Sunday in Advent,
Dec 19,Sunday,Fourth Sunday in Advent,
Dec 22,Wednesday,Capricorn (UTC),solar
Dec 22,Wednesday,Winter Solstice / Winter (UTC),solar
Dec 25,Saturday,Lailat al Miraj / The Prophet's Ascension (Umm al-Qura),muslim
Dec 25,Saturday,Western Christmas,
Dec 26,Sunday,Boxing Day / Saint Stephen's Day,
Dec 31,Friday,Western New Year's Eve,
